R_MULTIPLIER,MODEL_PERIOD
1.068357458,155
0.900616418,156
1.122618497,157
1.018646262,158
1.09364115,159
0.876712808,160
1.038887035,161
1.063255938,162
0.894524206,163
1.071643742,164
0.928643678,165
1.009546634,166
0.932171231,167
1.064366896,168
1.077941562,169
1.097303641,170
1.078926992,171
1.071564456,172
1.089315722,173
1.178096103,174
1.094900575,175
1.082142605,176
1.082109532,177
1.184010936,178
0.982527759,179
1.190113685,180
1.087760618,181
1.09373333,182
1.098497368,183
1.090200515,184
1.047140768,185
1.035239693,186
1.050422527,187
1.077174953,188
1.138385099,189
1.04552319,190
1.03853874,191
1.121030711,192
0.792692965,193
0.919140665,194
0.981811291,195
0.845906923,196
0.944271003,197
0.995238241,198
0.921084465,199
0.925706438,200
0.991273221,201
0.854720919,202
1.029771128,203
1.071125353,204
0.796527525,205
0.922975225,206
0.985645852,207
0.849741483,208
0.948105563,209
0.999072802,210
0.924919025,211
0.929540999,212
0.995107781,213
0.85855548,214
1.033605688,215
1.074959913,216
0.871926601,217
0.952713801,218
1.030574026,219
1.003764474,220
0.829060782,221
1.024051098,222
0.976578339,223
0.989254378,224
1.049532462,225
0.91126637,226
1.055057183,227
1.090842339,228
0.921965231,229
1.019104101,230
1.084636307,231
0.944371544,232
1.009865415,233
1.067039132,234
0.912198127,235
1.098278233,236
1.058958759,237
0.915646003,238
0.968086501,239
1.081501874,240
0.900346271,241
0.992693291,242
1.079936522,243
0.986932549,244
0.987835296,245
1.061251692,246
0.887229006,247
1.10379204,248
1.067180055,249
0.915986868,250
0.994677681,251
1.096638467,252
0.917554565,253
0.937457097,254
1.060949532,255
0.819295354,256
0.985898683,257
1.049797776,258
0.988011112,259
1.021091929,260
1.104656709,261
1.024042491,262
1.002598796,263
1.122807084,264
0.997288858,265
0.831219266,266
1.11011824,267
0.9193575,268
1.050609963,269
1.098275963,270
1.00621977,271
1.041583145,272
1.102984519,273
0.993547699,274
0.993958843,275
1.117597222,276
0.981136553,277
0.912523066,278
1.100609286,279
0.944528905,280
1.02145367,281
1.090694298,282
1.023072392,283
1.050767476,284
0.972831948,285
1.119810454,286
0.993585122,287
1.090537512,288
0.96738284,289
0.890394695,290
0.939419221,291
0.996889292,292
1.05946989,293
0.940224829,294
1.026549193,295
1.120879603,296
0.978988272,297
1.033865552,298
1.075168413,299
1.0972626,300
0.98409448,301
0.903245918,302
1.115760588,303
1.004648337,304
1.052444435,305
1.107410949,306
1.02935116,307
1.059599005,308
1.137934836,309
1.058015309,310
1.027222052,311
1.017175298,312
1.225065913,313
1.221014519,314
1.170157776,315
1.165480077,316
1.258222621,317
1.137446404,318
1.230169767,319
1.218164033,320
1.288324522,321
1.235212743,322
1.187006334,323
1.308237896,324
1.045346952,325
1.002502093,326
0.991295295,327
0.988352239,328
0.942882898,329
1.034086781,330
0.987722597,331
0.97904521,332
0.950826398,333
1.102864559,334
0.980249453,335
1.033499671,336
0.9727237,337
1.022311151,338
1.000142741,339
0.917454457,340
0.947497981,341
1.025419332,342
1.00080741,343
1.020752474,344
0.988247091,345
1.111069853,346
1.018238075,347
1.103257286,348
0.934117001,349
1.03767021,350
1.02195334,351
1.05158989,352
1.038140566,353
1.106252841,354
1.037118127,355
1.008109551,356
1.109006588,357
1.039881881,358
1.127745741,359
1.02776523,360
