AGEB_ID,GRAPROES_C,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
3978,14.63,97.30290456,72.74085138,76,0.995,0.582,0.925,0.902
3979,9.57,97.03304113,65.52443115,76,0.472,0.543,0.68,0.902
3980,9.14,98.0994152,63.36964595,76,0.354,0.716,0.602,0.902
3981,12.77,91.6967509,66.69131238,76,0.867,0.223,0.735,0.902
3982,13.91,90.56122449,78.29398324,76,0.955,0.202,0.983,0.902
3984,13.44,95.9697733,73.80660955,76,0.915,0.426,0.945,0.902
3985,14.16,97.63593381,64.98444521,76,0.974,0.637,0.654,0.902
3986,12.66,96.56381487,70.73615899,76,0.859,0.488,0.873,0.902
3987,14.24,94.98480243,71.75324675,76,0.979,0.354,0.897,0.902
3989,9.25,96.08985025,65.43262111,78,0.387,0.441,0.676,0.937
3990,10.59,98.75086745,61.07833164,78,0.681,0.852,0.524,0.937
3992,11.02,97.22735675,68.43792945,78,0.744,0.572,0.803,0.937
3994,13.83,96.83313033,72.29681979,63,0.949,0.518,0.913,0.466
3995,12.16,97.79116466,65.75178998,63,0.829,0.662,0.69,0.466
3996,10.86,99.82142857,67.81386331,63,0.72,0.99,0.775,0.466
3997,9.51,98.27823691,65.64758199,63,0.453,0.753,0.686,0.466
3998,12.56,96.67487685,70.58823529,63,0.853,0.501,0.87,0.466
3999,9.57,97.88135593,61.06215213,63,0.472,0.679,0.523,0.466
4000,13.49,98.31349206,68.47457627,63,0.921,0.76,0.804,0.466
4001,9.86,98.24727617,63.97712834,63,0.539,0.744,0.622,0.466
4002,9.28,98.62110312,67.06577515,63,0.393,0.825,0.747,0.466
4004,9.99,95.14613779,65.80833555,63,0.566,0.364,0.693,0.466
4005,9.83,94.91899853,67.25589226,63,0.531,0.351,0.754,0.466
4006,12.61,98.74411303,67.93216907,63,0.856,0.851,0.78,0.466
4007,11.41,98.77850163,72.04206836,63,0.78,0.859,0.905,0.466
4008,10.78,98.78419453,69.57254159,63,0.711,0.861,0.84,0.466
4009,10.59,98.1441048,65.17232444,63,0.681,0.724,0.664,0.466
4010,10.86,98.5106383,66.12770622,63,0.72,0.802,0.709,0.466
4012,10.58,97.48892171,69.04406273,63,0.68,0.612,0.826,0.466
4016,13.91,96.96969697,80,63,0.955,0.533,0.987,0.466
4018,13.44,98.3713355,73.07060755,63,0.915,0.772,0.932,0.466
4019,9.75,98.61949957,64.59537572,69,0.514,0.824,0.64,0.779
4020,10.57,98.68173258,53.0969031,69,0.678,0.836,0.304,0.779
4022,10.79,98.27586207,60.73322573,69,0.712,0.752,0.515,0.779
4026,13.59,87.38938053,68.83468835,69,0.928,0.148,0.816,0.779
4029,9.03,97.13914174,62.5818522,58,0.325,0.56,0.573,0.341
4031,10.29,94.46935725,56.79955291,58,0.634,0.325,0.408,0.341
4032,9.5,97.13701431,59.88783224,58,0.45,0.559,0.491,0.341
4033,9.19,98.58072147,63.53288987,58,0.368,0.816,0.607,0.341
4034,13.32,95.8677686,68.74189364,58,0.905,0.416,0.813,0.341
4035,11.39,98.47457627,64.3546971,58,0.778,0.792,0.632,0.341
4036,8.63,98.26539462,58.91806247,58,0.233,0.749,0.463,0.341
4037,10.27,99.08026756,66.49965839,58,0.63,0.918,0.725,0.341
4038,9.66,98.37775203,66.44457904,58,0.492,0.774,0.723,0.341
4039,9.96,98.77300613,62.88221971,58,0.56,0.858,0.583,0.341
4040,9.66,98.67069486,62.92505777,58,0.492,0.834,0.585,0.341
4041,9.1,98.13278008,64.048583,58,0.34,0.722,0.624,0.341
4042,9.14,98.3436853,67.11111111,58,0.354,0.766,0.749,0.341
4043,10.3,98.74266555,65.67591369,58,0.636,0.85,0.687,0.341
4044,8.32,97.55905512,55.89218965,58,0.17,0.625,0.382,0.341
4046,8.38,96.6080402,66.83804627,58,0.178,0.493,0.74,0.341
4047,9.18,96.10123119,44.3378119,58,0.366,0.443,0.119,0.341
4048,9.5,98,55.55261065,58,0.45,0.699,0.373,0.341
