Cluster,GRAPROES,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
121,8.015396447,801.5396447,48.04479572,65.56724025,0.114,0.109,0.268,0.756
122,11.84143758,1184.143758,79.5546383,54,0.815,0.099,0.98,0.338
123,7.897964814,789.7964814,41.49130349,36,0.084,0.96,0.109,0.029
124,13.59642092,1359.642092,73.82815809,64,0.93,0.288,0.94,0.641
125,9.735707253,973.5707253,65.38124246,63,0.597,0.82,0.721,0.537
126,9.814423316,981.4423316,64.59901448,67.46859486,0.626,0.835,0.686,0.766
127,13.19970816,1319.970816,64.32347625,65,0.89,0.159,0.671,0.711
128,8.090657155,809.0657155,47.6712036,63.14397401,0.139,0.263,0.253,0.616
129,8.263135903,826.3135903,33.41048592,45.60851927,0.189,0.189,0.029,0.124
130,9.806835208,980.6835208,59.97785802,75.0900671,0.621,0.124,0.552,0.895
131,8.766740564,876.6740564,50.66660653,54,0.308,0.512,0.348,0.323
132,10.3048886,1030.48886,45.52907005,54,0.716,0.228,0.179,0.308
133,9.433710012,943.3710012,45.70720446,54,0.532,0.487,0.184,0.308
134,8.97075304,897.075304,57.71926325,49,0.383,0.114,0.507,0.194
135,9.875424692,987.5424692,56.27373571,53.98668678,0.651,0.791,0.457,0.303
136,9.323979045,932.3979045,60.48705538,49,0.472,0.218,0.587,0.179
137,8.363455579,836.3455579,47.00281765,65,0.233,0.343,0.228,0.711
138,7.893666189,789.3666189,44.6181803,33,0.079,0.81,0.164,0.014
139,9.038113049,903.8113049,56.22192366,55.58418515,0.393,0.144,0.452,0.407
140,9.759322596,975.9322596,53.8462857,53.44270404,0.606,0.671,0.422,0.278
141,8.833717917,883.3717917,64.22438192,78,0.338,0.462,0.666,0.94
142,7.664025415,766.4025415,38.500602,54.8793348,0.054,0.029,0.064,0.383
143,8.534258623,853.4258623,49.19807948,65,0.273,0.203,0.288,0.701
144,8.725873772,872.5873772,45.96945637,54,0.293,0.074,0.199,0.308
145,12.92757138,1292.757138,70.85723228,82,0.88,0.696,0.865,0.97
146,11.70671556,1170.671556,68.13260861,76,0.8,0.587,0.791,0.915
147,8.149780465,814.9780465,52.51809153,52.92607419,0.154,0.134,0.388,0.258
148,8.172136287,817.2136287,42.03598218,40,0.164,0.631,0.119,0.064
149,9.823576825,982.3576825,64.94718127,78,0.631,0.626,0.701,0.94
150,8.780631499,878.0631499,47.50293804,47.64662507,0.318,0.402,0.248,0.144
151,8.657158906,865.7158906,49.40131099,47.80193018,0.283,0.378,0.298,0.149
152,9.064693354,906.4693354,41.85093446,49,0.402,0.358,0.114,0.179
153,8.381662137,838.1662137,58.27014518,65,0.238,0.422,0.522,0.711
